Row ID;Order ID;Order Date;Date Key;Contact Name;Country;City;Region;Subregion;Customer;Customer ID;Industry;Segment;Product;License;Sales;Quantity;Discount;Profit
1;EMEA-2022-152156;11/09/22;20221109;Nathan Bell;Ireland;Dublin;EMEA;UKIR;Chevron;1017;Energy;SMB;Marketing Suite;16GRM07R1K;261.96;2;0;419.136
2;EMEA-2022-152156;11/09/22;20221109;Nathan Bell;Ireland;Dublin;EMEA;UKIR;Chevron;1017;Energy;SMB;FinanceHub;QLIW57KZUV;731.94;3;0;219.582
3;AMER-2022-138688;6/13/2022;20220613;Deirdre Bailey;United States;New York City;AMER;NAMER;Phillips 66;1056;Energy;Strategic;FinanceHub;JI6BVL70HQ;0,626388889;2;0;68.714
4;EMEA-2021-108966;10/11/21;20211011;Zoe Hodges;Germany;Stuttgart;EMEA;EU-WEST;Royal Dutch Shell;1031;Energy;SMB;ContactMatcher;DE9GJKGD44;9.575.775;5;00.45;-383.031
5;EMEA-2021-108966;10/11/21;20211011;Zoe Hodges;Germany;Stuttgart;EMEA;EU-WEST;Royal Dutch Shell;1031;Energy;SMB;Marketing Suite - Gold;OIF7NY23WD;22.368;2;00.02;25.164
6;AMER-2020-115812;06/09/20;20200609;Thomas Hodges;United States;New York City;AMER;NAMER;BNP Paribas;1065;Finance;SMB;SaaS Connector Pack;8RM88WFOAE;48.86;7;0;141.694
7;AMER-2020-115812;06/09/20;20200609;Thomas Hodges;United States;New York City;AMER;NAMER;BNP Paribas;1065;Finance;SMB;ChatBot Plugin;4SYTVM0746;07.28;4;0;19.656
8;AMER-2020-115812;06/09/20;20200609;Thomas Hodges;United States;New York City;AMER;NAMER;BNP Paribas;1065;Finance;SMB;Site Analytics;07842ES7DY;907.152;6;00.02;907.152
9;AMER-2020-115812;06/09/20;20200609;Thomas Hodges;United States;New York City;AMER;NAMER;BNP Paribas;1065;Finance;SMB;ContactMatcher;XPBOBXWXA3;18.504;3;00.02;57.825
10;AMER-2020-115812;06/09/20;20200609;Thomas Hodges;United States;New York City;AMER;NAMER;BNP Paribas;1065;Finance;SMB;OneView;71J8P9Z1P0;114.09.00;5;0;34.47.00
11;AMER-2020-115812;06/09/20;20200609;Thomas Hodges;United States;New York City;AMER;NAMER;BNP Paribas;1065;Finance;SMB;ContactMatcher;43NZ37VE2D;1.706.184;9;00.02;853.092
12;AMER-2020-115812;06/09/20;20200609;Thomas Hodges;United States;New York City;AMER;NAMER;BNP Paribas;1065;Finance;SMB;Site Analytics;JG14MOU94R;911.424;4;00.02;683.568
13;EMEA-2023-114412;4/16/2023;20230416;Adrian Hunter;Sweden;Stockholm;EMEA;NOR;Engie;1062;Energy;SMB;Support;FE5QJBIUN1;15.552;3;00.02;54.432
14;AMER-2022-161389;12/06/22;20221206;Adrian Abraham;Canada;Toronto;AMER;NAMER;Microsoft;1066;Tech;SMB;ContactMatcher;COK66F8IC1;407.976;3;00.02;1.325.922
15;APJ-2021-118983;11/22/2021;20211122;Emily Morrison;Japan;Saitama;APJ;JAPN;Pfizer;1074;Healthcare;Enterprise;OneView;D8FGC56NNX;68.81;5;00.08;-123.858
16;APJ-2021-118983;11/22/2021;20211122;Emily Morrison;Japan;Saitama;APJ;JAPN;Pfizer;1074;Healthcare;Enterprise;ContactMatcher;NRKT5R1A1G;2.544;3;00.08;-3.816
17;EMEA-2020-105893;11/11/20;20201111;Claire Welch;Italy;Naples;EMEA;EU;Toyota Motor;1087;Manufacturing;SMB;Marketing Suite - Gold;K5XHYWZ1OV;665.88;6;0;133.176
18;EMEA-2020-167164;5/13/2020;20200513;Carol Campbell;Turkey;Ankara;EMEA;MEA;Home Depot;1047;Retail;SMB;Marketing Suite - Gold;LWWKLPY4AU;55.05.00;2;0;0,44375
19;AMER-2020-143336;8/27/2020;20200827;Blake Hughes;United States;Los Angeles;AMER;NAMER;Wells Fargo;1099;Finance;SMB;ChatBot Plugin;ZYL9KDTY68;08.56;2;0;24.824
20;AMER-2020-143336;8/27/2020;20200827;Blake Hughes;United States;Los Angeles;AMER;NAMER;Wells Fargo;1099;Finance;SMB;Site Analytics;I54O29EW1T;213.48.00;3;00.02;16.011
21;AMER-2020-143336;8/27/2020;20200827;Blake Hughes;United States;Los Angeles;AMER;NAMER;Wells Fargo;1099;Finance;SMB;ContactMatcher;E3TF1V9DE8;0,966666667;4;00.02;7.384
22;AMER-2022-137330;12/10/22;20221210;Melanie Sharp;Costa Rica;San José;AMER;LATAM;Carrefour;1048;Retail;Strategic;ChatBot Plugin;B83G92QX65;19.46;7;0;50.596
23;AMER-2022-137330;12/10/22;20221210;Melanie Sharp;Costa Rica;San José;AMER;LATAM;Carrefour;1048;Retail;Strategic;OneView;VWDIYAB44Z;60.34.00;7;0;156.884
24;EMEA-2023-156909;7/17/2023;20230717;Luke Bower;France;Paris;EMEA;EU-WEST;Costco Wholesale;1025;Retail;SMB;FinanceHub;AJOASBK55N;71.372;2;00.03;-10.196
25;EMEA-2021-106320;9/25/2021;20210925;Jonathan Ferguson;Turkey;Istanbul;EMEA;MEA;McKesson;1063;Consumer Products;SMB;ContactMatcher;P1I8X35CUZ;1044.63;3;0;2.402.649
26;AMER-2022-121755;1/16/2022;20220116;Sam Parsons;United States;New York City;AMER;NAMER;Siemens;1043;Manufacturing;SMB;ContactMatcher;NRCR8EBL62;11.648;2;00.02;42.224
27;AMER-2022-121755;1/16/2022;20220116;Sam Parsons;United States;New York City;AMER;NAMER;Siemens;1043;Manufacturing;SMB;Data Smasher;PV9U9D3A6O;90.57.00;3;0;117.741
28;EMEA-2021-150630;9/17/2021;20210917;Neil Gill;France;Paris;EMEA;EU-WEST;Intel;1051;Tech;SMB;Marketing Suite;F8G07TWQ17;3083.43.00;7;00.05;-16.650.522
29;EMEA-2021-150630;9/17/2021;20210917;Neil Gill;France;Paris;EMEA;EU-WEST;Intel;1051;Tech;SMB;ContactMatcher;BGL4P1U2CZ;9.618;2;00.07;-70.532
30;EMEA-2021-150630;9/17/2021;20210917;Neil Gill;France;Paris;EMEA;EU-WEST;Intel;1051;Tech;SMB;SaaS Connector Pack;B5H6S070N8;124.02.00;3;00.02;15.525
31;EMEA-2021-150630;9/17/2021;20210917;Neil Gill;France;Paris;EMEA;EU-WEST;Intel;1051;Tech;SMB;SaaS Connector Pack - Gold;D9635UBJOG;3.264;2;00.02;11.016
32;EMEA-2021-150630;9/17/2021;20210917;Neil Gill;France;Paris;EMEA;EU-WEST;Intel;1051;Tech;SMB;ChatBot Plugin;6SQI2HAZ4C;86.304;6;00.02;97.092
33;EMEA-2021-150630;9/17/2021;20210917;Neil Gill;France;Paris;EMEA;EU-WEST;Intel;1051;Tech;SMB;ContactMatcher;GPQ0TDTGIM;6.858;6;00.07;-5.715
34;EMEA-2021-150630;9/17/2021;20210917;Neil Gill;France;Paris;EMEA;EU-WEST;Intel;1051;Tech;SMB;ChatBot Plugin;4YZZHFC212;0,677777778;2;00.02;3.546
